timestamp,success,latency,code,size,fill,annotation
1487016161,0,1.067767ms,404,73,,
1487016162,0,2.217612ms,404,73,,
1487016163,0,2.496063ms,404,73,,
1487016164,0,3.24004ms,404,73,,
1487016165,0,2.81023ms,404,73,,
1487016166,0,2.640952ms,404,73,,
1487016167,0,2.552667ms,404,73,,
1487016168,0,2.101653ms,404,73,,
1487016169,0,3.821278ms,404,73,,
1487016170,0,3.939667ms,404,73,,
1487016171,0,1.71472ms,404,73,,
1487016172,0,2.392038ms,404,73,,
1487016173,0,2.086283ms,404,73,,"diego_cell start
diego_brain start
loggregator_trafficcontroller start
doppler start
diego_database done"
1487016174,0,4.381711ms,404,73,,
1487016175,0,1.369441ms,404,73,,
1487016176,0,2.847542ms,404,73,,
1487016177,0,3.457543ms,404,73,,
1487016178,0,2.351089ms,404,73,,
1487016179,0,3.469188ms,404,73,,
1487016180,0,4.197956ms,404,73,,
1487016181,0,1.460454ms,404,73,,
1487016182,0,2.366124ms,404,73,,
1487016183,0,2.289421ms,404,73,,
1487016184,0,2.157502ms,404,73,,
1487016185,0,2.456951ms,404,73,,
1487016186,0,3.276849ms,404,73,,
1487016187,0,1.382434ms,404,73,,
1487016188,0,1.61854ms,404,73,,
1487016189,0,3.094297ms,404,73,,
1487016190,0,2.4546ms,404,73,,
1487016191,0,2.314817ms,404,73,,
1487016192,0,2.638ms,404,73,,
1487016193,0,2.674864ms,404,73,,
1487016194,0,2.401687ms,404,73,,
1487016195,0,1.135091ms,404,73,,
1487016196,0,2.434931ms,404,73,,
1487016197,0,2.043778ms,404,73,,
1487016198,0,2.397705ms,404,73,,
1487016199,0,2.245255ms,404,73,,
1487016200,0,1.285531ms,404,73,,
1487016201,0,1.547016ms,404,73,,
1487016202,0,2.091506ms,404,73,,
1487016203,0,2.757154ms,404,73,,
1487016204,0,4.366805ms,404,73,,
1487016205,0,1.922122ms,404,73,,
1487016206,0,3.404594ms,404,73,,
1487016207,0,2.086414ms,404,73,,
1487016208,0,2.385867ms,404,73,,
1487016209,0,2.128918ms,404,73,,
1487016210,0,2.001452ms,404,73,,
1487016211,0,1.216ms,404,73,,
1487016212,0,2.375374ms,404,73,,
1487016213,0,2.369725ms,404,73,,
1487016214,0,3.408616ms,404,73,,
1487016215,0,2.604784ms,404,73,,
1487016216,0,2.113029ms,404,73,,
1487016217,0,2.445675ms,404,73,,
1487016218,0,2.335441ms,404,73,,
1487016219,0,2.254306ms,404,73,,
1487016220,0,1.128187ms,404,73,,
1487016221,0,2.166726ms,404,73,,
1487016222,0,3.07763ms,404,73,,
1487016223,0,2.083241ms,404,73,,
1487016224,0,2.320148ms,404,73,,
1487016225,0,1.982378ms,404,73,,
1487016226,0,2.015134ms,404,73,,
1487016227,0,1.516542ms,404,73,,
1487016228,0,2.229643ms,404,73,,
1487016229,0,2.626629ms,404,73,,
1487016230,0,2.560681ms,404,73,,
1487016231,0,3.369264ms,404,73,,"doppler done
loggregator_trafficcontroller done"
1487016232,0,2.358739ms,404,73,,
1487016233,0,2.305501ms,404,73,,
1487016234,0,2.23796ms,404,73,,
1487016235,0,2.536113ms,404,73,,
1487016236,0,2.56468ms,404,73,,
1487016237,0,3.27551ms,404,73,,
1487016238,0,2.974431ms,404,73,,
1487016239,0,2.202332ms,404,73,,
1487016240,0,2.259632ms,404,73,,
1487016241,0,2.059402ms,404,73,,
1487016242,0,2.108915ms,404,73,,
1487016243,0,5.436514ms,404,73,,
1487016244,0,2.407172ms,404,73,,
1487016245,0,3.680082ms,404,73,,
1487016246,0,2.586569ms,404,73,,
1487016247,0,2.232529ms,404,73,,
1487016248,0,2.372753ms,404,73,,
1487016249,0,1.335564ms,404,73,,
1487016250,0,2.649842ms,404,73,,
1487016251,0,1.241735ms,404,73,,
1487016252,0,2.769892ms,404,73,,
1487016253,0,1.479682ms,404,73,,
1487016254,0,3.076141ms,404,73,,
1487016255,0,2.23301ms,404,73,,
1487016256,0,2.225065ms,404,73,,
1487016257,0,2.136735ms,404,73,,
1487016258,0,2.852538ms,404,73,,
1487016259,0,2.175538ms,404,73,,diego_brain done
1487016260,0,2.274482ms,404,73,,
1487016261,0,2.652ms,404,73,,
1487016262,0,2.591018ms,404,73,,
1487016264,0,3.31204ms,404,73,,
1487016265,0,3.624746ms,404,73,,
1487016266,0,3.475209ms,404,73,,
1487016267,0,2.93054ms,404,73,,
1487016268,0,2.195315ms,404,73,,
1487016269,0,3.06462ms,404,73,,
1487016270,0,2.338565ms,404,73,,
1487016271,0,2.508461ms,404,73,,
1487016272,0,2.793145ms,404,73,,
1487016273,0,1.988028ms,404,73,,
1487016274,0,2.878119ms,404,73,,
1487016275,0,1.959634ms,404,73,,
1487016276,0,2.201381ms,404,73,,
1487016277,0,2.317096ms,404,73,,
1487016278,0,2.410679ms,404,73,,
1487016279,0,2.222152ms,404,73,,
1487016280,0,2.150737ms,404,73,,
1487016281,0,5.124363ms,404,73,,
1487016282,0,1.460647ms,404,73,,
1487016283,0,2.215642ms,404,73,,
1487016284,0,2.027047ms,404,73,,
1487016285,0,2.790407ms,404,73,,
1487016286,0,1.973308ms,404,73,,
1487016287,0,2.109087ms,404,73,,
1487016288,0,2.023755ms,404,73,,
1487016289,0,2.128574ms,404,73,,
1487016290,0,2.398536ms,404,73,,
1487016291,0,2.250826ms,404,73,,
1487016292,0,2.196648ms,404,73,,
1487016293,0,2.390961ms,404,73,,
1487016294,0,2.49745ms,404,73,,
1487016295,0,2.162605ms,404,73,,
1487016296,0,2.588448ms,404,73,,
1487016297,0,2.630148ms,404,73,,
1487016298,0,1.869284ms,404,73,,
1487016299,0,2.308958ms,404,73,,
1487016300,0,3.007732ms,404,73,,
1487016301,0,2.041197ms,404,73,,
1487016302,0,1.197069ms,404,73,,
1487016303,0,3.14385ms,404,73,,
1487016304,0,2.134219ms,404,73,,
1487016305,0,2.309278ms,404,73,,
1487016306,0,3.104046ms,404,73,,
1487016307,0,3.480435ms,404,73,,
1487016308,0,1.274287ms,404,73,,
1487016309,0,3.083169ms,404,73,,
1487016310,0,2.592139ms,404,73,,
1487016311,0,2.457409ms,404,73,,
1487016312,0,2.198951ms,404,73,,
1487016313,0,2.298507ms,404,73,,
1487016314,0,2.709234ms,404,73,,
1487016315,0,2.153484ms,404,73,,
1487016316,0,2.321297ms,404,73,,
1487016317,0,2.198064ms,404,73,,
1487016318,0,2.354152ms,404,73,,
1487016319,0,1.380396ms,404,73,,
1487016320,0,2.158183ms,404,73,,
1487016321,0,1.177763ms,404,73,,
1487016322,0,2.509759ms,404,73,,
1487016323,0,2.393092ms,404,73,,
1487016324,0,2.193311ms,404,73,,
1487016325,0,1.351511ms,404,73,,
1487016326,0,2.903013ms,404,73,,
1487016327,0,2.203764ms,404,73,,
1487016328,0,2.180108ms,404,73,,
1487016329,0,2.258908ms,404,73,,
1487016330,0,3.432755ms,404,73,,
1487016331,0,2.101121ms,404,73,,
1487016332,0,2.317107ms,404,73,,
1487016333,0,2.046451ms,404,73,,
1487016334,0,2.430757ms,404,73,,
1487016335,0,2.059159ms,404,73,,
1487016336,0,2.150475ms,404,73,,
1487016337,0,2.141103ms,404,73,,
1487016338,0,2.229693ms,404,73,,
1487016339,0,1.994443ms,404,73,,
1487016340,0,2.355225ms,404,73,,
1487016341,0,2.976969ms,404,73,,
1487016342,0,1.998782ms,404,73,,
1487016343,0,2.258905ms,404,73,,
1487016344,0,2.028093ms,404,73,,
1487016345,0,2.125978ms,404,73,,
1487016346,0,2.973325ms,404,73,,
1487016347,0,2.047923ms,404,73,,
1487016348,0,1.976798ms,404,73,,
1487016349,0,1.34203ms,404,73,,
1487016350,0,2.160549ms,404,73,,
1487016351,0,2.150741ms,404,73,,
1487016352,0,3.234236ms,404,73,,
1487016353,0,2.282ms,404,73,,
1487016354,0,2.958747ms,404,73,,
1487016355,0,2.074942ms,404,73,,
1487016356,0,2.428553ms,404,73,,
1487016357,0,2.241362ms,404,73,,
1487016358,0,1.917116ms,404,73,,
1487016359,0,2.205247ms,404,73,,
1487016360,0,2.866783ms,404,73,,
1487016361,0,2.055ms,404,73,,
1487016362,0,1.879284ms,404,73,,
1487016363,0,2.114651ms,404,73,,
1487016364,0,3.249236ms,404,73,,
1487016365,0,3.106263ms,404,73,,
1487016366,0,2.202614ms,404,73,,
1487016367,0,2.356109ms,404,73,,
1487016368,0,2.045642ms,404,73,,
1487016369,0,2.094856ms,404,73,,
1487016370,0,2.158818ms,404,73,,
1487016371,0,2.160222ms,404,73,,
1487016372,0,2.415338ms,404,73,,
1487016373,0,2.416152ms,404,73,,
1487016374,0,2.464892ms,404,73,,
1487016375,0,2.75599ms,404,73,,
1487016376,0,1.9471ms,404,73,,
1487016377,0,2.886206ms,404,73,,
1487016378,0,1.937148ms,404,73,,
1487016379,0,2.214558ms,404,73,,
1487016380,0,2.083443ms,404,73,,
1487016381,0,1.424721ms,404,73,,
1487016382,0,2.730939ms,404,73,,
1487016383,0,1.967869ms,404,73,,
1487016384,0,2.042429ms,404,73,,
1487016385,0,2.992022ms,404,73,,
1487016386,0,2.952972ms,404,73,,
1487016387,0,1.975038ms,404,73,,
1487016388,0,2.994338ms,404,73,,
1487016389,0,2.285697ms,404,73,,
1487016390,0,2.130159ms,404,73,,
1487016391,0,3.282927ms,404,73,,
1487016392,0,3.353593ms,404,73,,
1487016393,0,2.056599ms,404,73,,
1487016394,0,2.749356ms,404,73,,
1487016395,0,2.075049ms,404,73,,
1487016396,0,2.209944ms,404,73,,
1487016397,0,2.55608ms,404,73,,
1487016398,0,2.439283ms,404,73,,
